Topic,Count,Name,Representation,Representative_Docs
-1,2764,-1_presiden_kerja_aja_jadi,"['presiden', 'kerja', 'aja', 'jadi', 'gak', 'ada', 'nya', 'ga', 'ya', 'masih']","['selamat tahun baru semoga di tahun yang baru ini kita dapat melangkah lebih baik dengan semangat yang terus menyala demi indonesia yang semakin maju dan lebih baik', 'kerja untuk hidup dan hidup untuk bekerja karena gk mungkin kan klo manusia gk kerja kecuali dia pewaris atau emang udah kaya raya dari lahir pasti enak walaupun gk kerja orang itu masih punya banyak uang', 'gak jadi nabi pun gak apa pak gak punya tongkat nabi musa pun gak apa pak cuma jadi bapak yang sekarang dengan bener aja bisa gak sih bekerja lah selayaknya presiden pak']"
0,555,0_rekonstruksi_pascabencana_bangun_kembali,"['rekonstruksi', 'pascabencana', 'bangun', 'kembali', 'rumah', 'ketiga', 'prabowo', 'listrik', 'jalan', 'royong']","['presiden prabowo hadir ketiga kalinya di lokasi bencana menegaskan prabowo bangun kembali rekonstruksi pascabencana rumah rusak diganti listrik jalan dan infrastruktur dipulihkan gotong royong jadi kekuatan', 'prabowo bangun kembali saat presiden turun untuk ketiga kalinya ke lokasi banjir dan longsor negara menegaskan rekonstruksi pascabencana rumah warga diganti listrik jalan dan infrastruktur dipulihkan cepat bersama rakyat bangkit gotong royong', 'presiden prabowo kembali untuk ketiga kalinya ke lokasi banjir dan longsor membawa komitmen prabowo bangun kembali rumah warga diganti negara listrik jalan dan infrastruktur dipulihkan lewat rekonstruksi pascabencana gotong royong jadi kekuatan bersama']"
1,238,1_toti_maksudnya_sebelah_negaranya,"['toti', 'maksudnya', 'sebelah', 'negaranya', 'marah', 'malaysia', 'kayaknya', 'dewan', 'mata', 'dianggap']","['anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya', 'anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya', 'anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya']"
2,190,2_siapa_suruh_jadi_presiden,"['siapa', 'suruh', 'jadi', 'presiden', 'tua', 'omon', 'dukung', 'dia', 'tangkapanies', 'nya']","['lah siapa suruh udh tua jadi presiden', 'lah siapa suruh jadi presiden', 'lah siapa suruh jadi presiden']"
3,187,3_ga_ada_dia_jadi,"['ga', 'ada', 'dia', 'jadi', 'bukan', 'presiden', 'tuh', 'rakyatnya', 'ya', 'bisa']","['bener ni orangdaribcaranya ngomong aja keliatanga tau apa progress kerjaan anak buahnya bener cuma omon doang pak bapak tuh jd presiden bukan cuma buat pidato doang pak kesel asli', 'nangis bgt jir sampe mau nonton aja jujur ga sanggup kek kenapa ya mayoritas org indo tuh naif dan bodoh kita bisa loh punya presiden begini kok bsbsnya malah milih org yg jelas punya riwayat kriminal sih', 'orang kalau udah buta emang susah orang jawa menganggap mereka paling top paling ok paling iya hasil nya presiden jawa hasil nya hari ini negara gk tau arah nya boro mau maju dia jalan kemana aja kagak tau ya anggaran habis terus yang sda terkuras terus negara tetap miskin']"
4,120,4_pengungsi_langkat_pengungsian_posko,"['pengungsi', 'langkat', 'pengungsian', 'posko', 'man', 'tinjau', 'meninjau', 'kebutuhan', 'semuatanganibencana', 'subianto']","['hal tersebut disampaikan presiden dalam keterangannya kepada masyarakat saat meninjau posko pengungsi di man langkat kabupaten langkat sumatera utara sabtu', 'hal tersebut disampaikan presiden dalam keterangannya kepada masyarakat saat meninjau posko pengungsi di man langkat kabupaten langkat sumatera utara sabtu', 'presiden prabowo tinjau korban terdampak banjir di posko pengungsian man langkat']"
5,119,5_indonesia_rakyat_presiden_aceh,"['indonesia', 'rakyat', 'presiden', 'aceh', 'jadi', 'merdeka', 'punya', 'indonesiaemas', 'tapi', 'dpr']","['sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah sekolahrakyat indonesiaemas', 'sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah fondasi penting berlandaskan pancasila menuju indonesia emas sekolahrakyat indonesiaemas', 'sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah fondasi penting berlandaskan pancasila menuju indonesia emas sekolahrakyat indonesiaemas']"
6,104,6_aku_kerja_mama_gua,"['aku', 'kerja', 'mama', 'gua', 'buat', 'mamah', 'kuliah', 'mau', 'ibu', 'sampe']","['dan minta maaf sama aku karna ga pernah bisa bikin keluarga yang cemara ibu sampe sekarang masih kerja dan aku sekarang kelas ibu selalu bilang untuk sukses dan kejar cita waktu itu ibu bilang ibu ikhlas kalo aku mau nyari ayah kandung ku tapi aku rasa', 'ternyata ayah kandung aku sejahat itu sama ibu jadi yang bikin aku pengen terus hidup ya ibu karna selama dia hidup aku rasa ibu ga pernah bahagia selalu rasa sakit yang dia terima sepanjang hidupnya ibu aku cuma kerja dan kerja demi aku dan ade i love ibu', 'jujur di situ sedih bgt karna mama berjuang se begitu besarnya tiap malem pusing mikirin biaya kuliah skrg aku udh kerja jd mskpn cape aku selalu inget perjuangan mama sm bpk aku biar aku bisa kuliah jd aku mau bantu lunasin hutang mama yg dipake buat aku kuliah']"
7,94,7_penanganan_bencana_percepatan_terdampak,"['penanganan', 'bencana', 'percepatan', 'terdampak', 'pastikan', 'terkendali', 'kesiapan', 'sumatera', 'cepat', 'memanggil']","['presiden prabowo minta percepatan penanganan bencana sumatera', 'presiden prabowo minta percepatan penanganan bencana sumatera', 'presiden prabowo pimpin ratas bahas percepatan penanganan bencana dan kesiapan libur nataru presiden prabowo memanggil sejumlah menteri kabinet merah putih ke kediaman pribadinya di hambalang bogor jawa barat minggu untuk membahas penanganan bencana di sumatra']"
8,88,8_hunian_huniankorbanbencana_memulihkan_terdampak,"['hunian', 'huniankorbanbencana', 'memulihkan', 'terdampak', 'korban', 'warga', 'percepatan', 'pembangunan', 'bencana', 'membahas']","['percepatan hunian korban bencana diminta cepat oleh bapak presiden prabowo huniankorbanbencana memulihkan warga terdampak', 'presiden dan menteri rapat kabinet untuk fokus membahas percepatan penyediaan hunian bagi korban bencana sumatera huniankorbanbencana memulihkan warga terdampak', 'presiden prabowo perintahkan percepatan hunian korban bencana huniankorbanbencana memulihkan warga terdampak']"
