Topic,Count,Name,Representation,Representative_Docs
-1,2875,-1_presiden_jadi_aja_gak,"['presiden', 'jadi', 'aja', 'gak', 'kerja', 'ada', 'nya', 'bisa', 'ga', 'dia']","['lah njir itu mah udah resiko pekerjaan gak sih makanya pak kalo tau udah tua jangan nyalon jadi presiden mending keliling healing duit bapak banyak kan nah tuh terus main sama kucing bapak yang kemaren dibuat bahan kampanye kemaren itu', 'tapi guys pemulihan listrik emang masih ada kendala kondisi alam amp medan berat bikin pemasangan kabel susah apalagi sebagian wilayah masih banjir jadi menghambat pak presiden berharap dalam seminggu ke depan listrik bisa nyala lagi di daerah zonauang', 'semua orang sedih tapi prabowo itu presiden yg punya kekuasaan utk lakukan perintah tp faktanya cuma datang lalu pergi amp diserahkan pada manusia penjilat dan gak bisa kerja amp laporan abs agak dilihat hebatharus nya sedih juga krn dibohongi pembantu nya cc admin akun']"
0,502,0_rekonstruksi_pascabencana_bangun_kembali,"['rekonstruksi', 'pascabencana', 'bangun', 'kembali', 'rumah', 'ketiga', 'prabowo', 'listrik', 'jalan', 'royong']","['untuk ketiga kalinya presiden prabowo hadir di lokasi banjir dan longsor menegaskan prabowo bangun kembali melalui rekonstruksi pascabencana rumah warga akan diganti listrik jalan dan infrastruktur dipulihkan cepat meski kondisi lapangan sangat berat gotong royong jadi kunci', 'presiden prabowo kembali turun ke lokasi bencana untuk ketiga kalinya memastikan negara selalu hadir prabowo bangun kembali rumah warga listrik jalan dan infrastruktur melalui rekonstruksi pascabencana', 'presiden prabowo hadir ketiga kalinya di lokasi bencana menegaskan prabowo bangun kembali rekonstruksi pascabencana rumah rusak diganti listrik jalan dan infrastruktur dipulihkan gotong royong jadi kekuatan']"
1,237,1_toti_maksudnya_sebelah_negaranya,"['toti', 'maksudnya', 'sebelah', 'negaranya', 'marah', 'malaysia', 'kayaknya', 'dewan', 'mata', 'dianggap']","['anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya', 'anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya', 'anggota dewan malaysia marah bantuan dari negaranya dianggap sebelah mata oleh seorang menteri dari indonesia toti kayaknya maksudnya']"
2,152,2_ada_dia_mau_rakyatnya,"['ada', 'dia', 'mau', 'rakyatnya', 'jadi', 'gak', 'jd', 'ya', 'bukan', 'presiden']","['gw tau pemimpin gak ad yg sempurna gw ngerti tiap presiden ada salahnya gw paham tp yang gw gak bisa terima tu kalo seorang pemimpin melakukan kesalahan yang tidak mau mengakuinya lalu tdk memperbaikinya lalu tdk merubah kebijakan aturan nya tdk hadir untuk rakyatnya', 'dah d ksh kesempatan jd presiden bisa ambil kebijakan apapun yg dia mau tp msh minta tongkat nabi musa ya gak aja lah emang benar bapak hanya omon suara aja lantang tp ga tegas ambil kebijakan dan selalu percaya dgn bawahan yg penjilat abs sampekan ke majikanmu', 'dulu jg mrk nikah gak msk di akal gwkalo bkn dia anak presiden gak mungkin ada cowo mau nikahin dia scr dia dulu gendut bsr gitu gak mksd shaming tp fakta cowo bnykan gak mau istri gendut jd si bob mudahnya slengki coba kalo bkn anak pres ada yg mau']"
3,127,3_pengungsi_langkat_pengungsian_posko,"['pengungsi', 'langkat', 'pengungsian', 'posko', 'man', 'meninjau', 'tinjau', 'kebutuhan', 'subianto', 'semuatanganibencana']","['hal tersebut disampaikan presiden dalam keterangannya kepada masyarakat saat meninjau posko pengungsi di man langkat kabupaten langkat sumatera utara sabtu', 'presiden prabowo tinjau langsung para pengungsi korban bencana di langkat', 'presiden prabowo tinjau korban terdampak banjir di posko pengungsian man langkat']"
4,120,4_indonesia_rakyat_merdeka_indonesiaemas,"['indonesia', 'rakyat', 'merdeka', 'indonesiaemas', 'jadi', 'presiden', 'tapi', 'dpr', 'sejarah', 'punya']","['sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah sekolahrakyat indonesiaemas', 'sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah fondasi penting berlandaskan pancasila menuju indonesia emas sekolahrakyat indonesiaemas', 'sekolah rakyat gagasan presiden prabowo wujudkan pendidikan inklusif amp hapus hambatan ekonomi bagi lapisan terbawah fondasi penting berlandaskan pancasila menuju indonesia emas sekolahrakyat indonesiaemas']"
5,113,5_penanganan_bencana_percepatan_bahas,"['penanganan', 'bencana', 'percepatan', 'bahas', 'terdampak', 'hambalang', 'terkendali', 'sumatera', 'kesiapan', 'libur']","['presiden prabowo minta percepatan penanganan bencana sumatera', 'presiden prabowo di hambalang bahas percepatan penanganan bencana dan kesiapan libur akhir tahun', 'presiden prabowo pimpin ratas bahas percepatan penanganan bencana dan kesiapan libur nataru presiden prabowo memanggil sejumlah menteri kabinet merah putih ke kediaman pribadinya di hambalang bogor jawa barat minggu untuk membahas penanganan bencana di sumatra']"
6,105,6_huniankorbanbencana_memulihkan_hunian_terdampak,"['huniankorbanbencana', 'memulihkan', 'hunian', 'terdampak', 'warga', 'korban', 'percepatan', 'pembangunan', 'layak', 'agar']","['dalam rapat presiden prabowo menekankan bahwa pembangunan hunian bagi warga yang terdampak harus menjadi prioritas utama agar masyarakat segera memiliki tempat tinggal yang layak dan aman huniankorbanbencana memulihkan warga terdampak', 'dalam rapat presiden prabowo menekankan bahwa pembangunan hunian bagi warga yang terdampak harus menjadi prioritas utama agar masyarakat segera memiliki tempat tinggal yang layak dan aman huniankorbanbencana memulihkan warga terdampak', 'presiden prabowo perintahkan percepatan hunian korban bencana huniankorbanbencana memulihkan warga terdampak']"
7,92,7_pak_lg_apa_tdk,"['pak', 'lg', 'apa', 'tdk', 'timmy', 'aja', 'bpk', 'jg', 'ga', 'drs']","['tunggu apa lg pak presiden pak menhan amp untuk basmi pengkhianat bangsa gerombolan s op tanpa kompromi lg awasgerombolansop', 'dari drs jd irjoko widodo aj dah ketahuan berijasah palsu rbt kl ga dipenjara akan membahayakan nkri apa lg lom jg dimakzulkan gibran cc pak presiden pak menhan amp', 'dari drs jd irjoko widodo aj dah ketahuan berijasah palsu rbt kl ga dipenjara akan membahayakan nkri apa lg lom jg dimakzulkan gibran cc pak presiden pak menhan amp awasgerombolansop']"
8,81,8_aku_kerja_mama_gua,"['aku', 'kerja', 'mama', 'gua', 'ga', 'ku', 'ibu', 'ayah', 'mamah', 'kuliah']","['ternyata ayah kandung aku sejahat itu sama ibu jadi yang bikin aku pengen terus hidup ya ibu karna selama dia hidup aku rasa ibu ga pernah bahagia selalu rasa sakit yang dia terima sepanjang hidupnya ibu aku cuma kerja dan kerja demi aku dan ade i love ibu', 'dan minta maaf sama aku karna ga pernah bisa bikin keluarga yang cemara ibu sampe sekarang masih kerja dan aku sekarang kelas ibu selalu bilang untuk sukses dan kejar cita waktu itu ibu bilang ibu ikhlas kalo aku mau nyari ayah kandung ku tapi aku rasa', 'jujur di situ sedih bgt karna mama berjuang se begitu besarnya tiap malem pusing mikirin biaya kuliah skrg aku udh kerja jd mskpn cape aku selalu inget perjuangan mama sm bpk aku biar aku bisa kuliah jd aku mau bantu lunasin hutang mama yg dipake buat aku kuliah']"
